日付,機種名,台番,累計ゲーム数,BIG回数,REG回数,最大放出数,推測差枚,合算確率,REG確率,最有力設定,設定1(%),設定2(%),設定3(%),設定4(%),設定5(%),設定6(%)
2026-07-21,ｷﾝｸﾞﾊﾅﾊﾅ-30,0390,4216,17,7,1560,930,175.7,602.3,設定1,52.2,21.9,14.5,7.6,2.4,1.4
2026-07-21,ｷﾝｸﾞﾊﾅﾊﾅ-30,0389,756,0,1,125,-817,756.0,756.0,設定1,53.4,21.0,13.5,7.2,2.8,2.0
2026-07-21,ｷﾝｸﾞﾊﾅﾊﾅ-30,0388,7089,21,23,1609,658,161.1,308.2,設定1,29.8,19.7,20.3,16.4,8.1,5.7
2026-07-21,ｷﾝｸﾞﾊﾅﾊﾅ-30,0387,1273,5,0,411,-35,254.6,0,設定1,55.5,21.0,12.9,6.6,2.3,1.6
2026-07-21,ｷﾝｸﾞﾊﾅﾊﾅ-30,0386,2321,10,3,577,601,178.5,773.7,設定1,51.3,21.3,14.3,8.0,3.0,2.1
2026-07-21,ｷﾝｸﾞﾊﾅﾊﾅ-30,0385,5135,25,13,2783,3055,135.1,395.0,設定1,27.9,17.6,18.5,16.7,9.7,9.6
2026-07-21,ｷﾝｸﾞﾊﾅﾊﾅ-30,0384,4726,13,20,1409,733,143.2,236.3,設定4,18.5,14.1,17.7,19.0,14.3,16.4
2026-07-21,ｷﾝｸﾞﾊﾅﾊﾅ-30,0383,1452,4,1,479,-441,290.4,1452.0,設定1,56.3,21.1,12.7,6.3,2.1,1.4
2026-07-21,ｷﾝｸﾞﾊﾅﾊﾅ-30,0382,2156,7,4,584,2,196.0,539.0,設定1,50.7,21.3,14.5,8.2,3.1,2.2
2026-07-21,ｷﾝｸﾞﾊﾅﾊﾅ-30,0381,1685,5,1,599,-421,280.8,1685.0,設定1,57.7,21.1,12.3,5.8,1.9,1.1
2026-07-21,ｷﾝｸﾞﾊﾅﾊﾅ-30,0380,3062,10,8,880,322,170.1,382.8,設定1,44.1,21.1,16.4,10.5,4.5,3.4
2026-07-21,ｷﾝｸﾞﾊﾅﾊﾅ-30,0379,1077,3,2,560,-153,215.4,538.5,設定1,49.0,20.9,14.6,8.7,3.7,3.0
2026-07-21,ｷﾝｸﾞﾊﾅﾊﾅ-30,0378,7223,26,17,999,1270,168.0,424.9,設定1,44.7,22.6,17.5,10.2,3.4,1.7
2026-07-21,ｷﾝｸﾞﾊﾅﾊﾅ-30,0377,3623,13,12,1404,1075,144.9,301.9,設定1,31.1,18.4,18.1,15.2,8.7,8.5
2026-07-21,ｷﾝｸﾞﾊﾅﾊﾅ-30,0376,7447,26,15,1455,729,181.6,496.5,設定1,54.4,22.8,14.3,6.4,1.5,0.6
2026-07-21,ｷﾝｸﾞﾊﾅﾊﾅ-30,0375,9777,47,49,6920,8782,101.8,199.5,設定6,0.0,0.0,0.1,1.4,10.2,88.3
2026-07-21,ｷﾝｸﾞﾊﾅﾊﾅ-30,0374,2956,12,6,1094,819,164.2,492.7,設定1,46.1,21.2,15.8,9.8,4.0,3.0
2026-07-21,ｷﾝｸﾞﾊﾅﾊﾅ-30,0373,9402,32,32,2400,2362,146.9,293.8,設定4,13.6,12.8,19.2,22.9,16.4,15.1
2026-07-20,ｷﾝｸﾞﾊﾅﾊﾅ-30,390,2633,16,4,1811,2212,131.7,658.2,設定1,40.3,19.9,16.5,11.9,5.9,5.5
2026-07-20,ｷﾝｸﾞﾊﾅﾊﾅ-30,389,6149,29,11,1724,2772,153.7,559.0,設定1,44.7,21.8,17.0,10.5,3.8,2.3
2026-07-20,ｷﾝｸﾞﾊﾅﾊﾅ-30,388,6482,29,21,2620,3655,129.6,308.7,設定6,12.8,11.0,16.1,20.6,17.3,22.2
2026-07-20,ｷﾝｸﾞﾊﾅﾊﾅ-30,387,2897,6,12,476,-198,160.9,241.4,設定1,33.4,19.1,17.9,14.2,8.0,7.5
2026-07-20,ｷﾝｸﾞﾊﾅﾊﾅ-30,386,2207,5,6,1037,-425,200.6,367.8,設定1,47.9,21.3,15.3,9.1,3.7,2.7
2026-07-20,ｷﾝｸﾞﾊﾅﾊﾅ-30,385,7250,37,14,4273,4278,142.2,517.9,設定1,35.1,20.3,19.1,14.5,6.4,4.6
2026-07-20,ｷﾝｸﾞﾊﾅﾊﾅ-30,384,713,1,2,267,-321,237.7,356.5,設定1,47.1,20.6,14.9,9.4,4.3,3.7
2026-07-20,ｷﾝｸﾞﾊﾅﾊﾅ-30,383,1682,8,3,1206,778,152.9,560.7,設定1,44.9,20.5,15.6,10.2,4.7,4.1
2026-07-20,ｷﾝｸﾞﾊﾅﾊﾅ-30,382,1894,5,7,963,96,157.8,270.6,設定1,38.6,19.8,16.8,12.3,6.5,6.1
2026-07-20,ｷﾝｸﾞﾊﾅﾊﾅ-30,381,76,0,0,9,-95,0.0,0.0,判定不能(G不足),46.3,20.2,14.8,9.6,4.6,4.4
2026-07-20,ｷﾝｸﾞﾊﾅﾊﾅ-30,380,10592,57,27,5407,8020,126.1,392.3,設定6,6.6,7.2,13.7,22.5,21.2,28.7
2026-07-20,ｷﾝｸﾞﾊﾅﾊﾅ-30,379,237,0,0,30,-296,0.0,0.0,判定不能(G不足),49.1,20.6,14.3,8.7,3.9,3.4
2026-07-20,ｷﾝｸﾞﾊﾅﾊﾅ-30,378,1778,8,0,928,267,222.2,0.0,設定1,57.3,21.0,12.4,6.0,2.0,1.2
2026-07-20,ｷﾝｸﾞﾊﾅﾊﾅ-30,377,6361,28,13,1920,2454,155.1,489.3,設定1,42.4,21.7,17.7,11.3,4.2,2.6
2026-07-20,ｷﾝｸﾞﾊﾅﾊﾅ-30,376,1217,4,1,678,-147,243.4,1217.0,設定1,53.0,21.1,13.7,7.4,2.8,2.1
2026-07-20,ｷﾝｸﾞﾊﾅﾊﾅ-30,375,3423,11,10,699,442,163.0,342.3,設定1,40.2,20.6,17.2,11.9,5.6,4.5
2026-07-20,ｷﾝｸﾞﾊﾅﾊﾅ-30,374,1580,5,2,431,-159,225.7,790.0,設定1,53.0,21.2,13.7,7.4,2.7,1.9
2026-07-20,ｷﾝｸﾞﾊﾅﾊﾅ-30,373,3738,13,7,619,281,186.9,534.0,設定1,52.4,21.9,14.4,7.5,2.5,1.4
2026-07-19,ｷﾝｸﾞﾊﾅﾊﾅ-30,390,4390,18,6,1000,894,182.9,731.7,設定1,56.2,21.8,13.2,6.2,1.8,0.9
2026-07-19,ｷﾝｸﾞﾊﾅﾊﾅ-30,389,2349,6,6,896,-291,195.8,391.5,設定1,48.2,21.4,15.2,9.0,3.6,2.6
2026-07-19,ｷﾝｸﾞﾊﾅﾊﾅ-30,388,1130,1,4,355,-584,226.0,282.5,設定1,46.1,20.8,15.3,9.7,4.4,3.7
2026-07-19,ｷﾝｸﾞﾊﾅﾊﾅ-30,387,2031,8,4,1025,470,169.2,507.8,設定1,46.8,20.9,15.4,9.5,4.1,3.3
2026-07-19,ｷﾝｸﾞﾊﾅﾊﾅ-30,386,3629,17,8,1409,1796,145.2,453.6,設定1,39.2,20.2,17.2,12.4,5.9,5.0
2026-07-19,ｷﾝｸﾞﾊﾅﾊﾅ-30,385,3509,15,7,1508,1192,159.5,501.3,設定1,45.3,21.2,16.1,10.1,4.2,3.1
2026-07-19,ｷﾝｸﾞﾊﾅﾊﾅ-30,384,5771,35,13,3695,5378,120.2,443.9,設定4,18.1,13.3,17.0,19.3,14.2,18.1
2026-07-19,ｷﾝｸﾞﾊﾅﾊﾅ-30,383,1153,3,2,365,-248,230.6,576.5,設定1,50.2,21.0,14.4,8.3,3.4,2.7
2026-07-19,ｷﾝｸﾞﾊﾅﾊﾅ-30,382,5891,25,19,2404,2887,133.9,310.1,設定4,17.6,13.6,17.7,19.8,14.6,16.8
2026-07-19,ｷﾝｸﾞﾊﾅﾊﾅ-30,381,776,3,2,834,223,155.2,388.0,設定1,43.9,20.1,15.5,10.4,5.1,4.9
2026-07-19,ｷﾝｸﾞﾊﾅﾊﾅ-30,380,2296,11,1,1137,684,191.3,2296.0,設定1,56.0,21.2,12.9,6.5,2.1,1.3
2026-07-19,ｷﾝｸﾞﾊﾅﾊﾅ-30,379,8188,42,16,3732,4923,141.2,511.8,設定1,32.6,19.9,19.8,15.7,7.0,5.0
2026-07-19,ｷﾝｸﾞﾊﾅﾊﾅ-30,378,2758,16,4,1903,2055,137.9,689.5,設定1,42.5,20.3,16.3,11.2,5.2,4.5
2026-07-19,ｷﾝｸﾞﾊﾅﾊﾅ-30,377,2777,10,4,882,160,198.4,694.2,設定1,54.3,21.5,13.6,6.9,2.3,1.4
2026-07-19,ｷﾝｸﾞﾊﾅﾊﾅ-30,376,1599,6,2,774,128,199.9,799.5,設定1,51.4,21.1,14.2,8.0,3.1,2.3
2026-07-19,ｷﾝｸﾞﾊﾅﾊﾅ-30,375,6431,24,16,1370,1509,160.8,401.9,設定1,40.0,21.6,18.4,12.2,4.8,3.0
2026-07-19,ｷﾝｸﾞﾊﾅﾊﾅ-30,374,1444,5,4,726,270,160.4,361.0,設定1,43.1,20.3,15.9,10.8,5.2,4.7
2026-07-19,ｷﾝｸﾞﾊﾅﾊﾅ-30,373,3722,11,8,611,-192,195.9,465.2,設定1,52.3,21.9,14.4,7.5,2.5,1.4
2026-07-18,ｷﾝｸﾞﾊﾅﾊﾅ-30,390,2737,8,5,673,-283,210.5,547.4,設定1,53.9,21.6,13.7,7.0,2.3,1.4
2026-07-18,ｷﾝｸﾞﾊﾅﾊﾅ-30,389,2118,5,4,503,-574,235.3,529.5,設定1,53.8,21.5,13.7,7.1,2.5,1.6
2026-07-18,ｷﾝｸﾞﾊﾅﾊﾅ-30,388,5097,25,10,1994,2712,145.6,509.7,設定1,39.5,20.7,17.7,12.5,5.5,4.2
2026-07-18,ｷﾝｸﾞﾊﾅﾊﾅ-30,387,3129,10,8,1348,238,173.8,391.1,設定1,45.2,21.3,16.2,10.1,4.2,3.1
2026-07-18,ｷﾝｸﾞﾊﾅﾊﾅ-30,386,8442,34,24,1866,3149,145.6,351.8,設定1,22.4,16.9,20.4,19.8,11.3,9.2
2026-07-18,ｷﾝｸﾞﾊﾅﾊﾅ-30,385,3399,10,9,1404,30,178.9,377.7,設定1,45.7,21.5,16.2,9.9,4.0,2.8
2026-07-18,ｷﾝｸﾞﾊﾅﾊﾅ-30,384,3580,18,6,1904,1909,149.2,596.7,設定1,44.3,21.0,16.3,10.6,4.5,3.4
2026-07-18,ｷﾝｸﾞﾊﾅﾊﾅ-30,383,3485,10,8,744,-207,193.6,435.6,設定1,50.7,21.9,14.9,8.1,2.8,1.7
2026-07-18,ｷﾝｸﾞﾊﾅﾊﾅ-30,382,1297,3,2,299,-429,259.4,648.5,設定1,52.4,21.2,13.9,7.6,2.9,2.1
2026-07-18,ｷﾝｸﾞﾊﾅﾊﾅ-30,381,4545,20,9,1268,1714,156.7,505.0,設定1,44.4,21.4,16.6,10.5,4.2,2.9
2026-07-18,ｷﾝｸﾞﾊﾅﾊﾅ-30,380,4032,15,6,1102,407,192.0,672.0,設定1,56.3,21.8,13.1,6.1,1.8,0.9
2026-07-18,ｷﾝｸﾞﾊﾅﾊﾅ-30,379,2738,5,7,425,-961,228.2,391.1,設定1,52.3,21.8,14.3,7.5,2.6,1.6
2026-07-18,ｷﾝｸﾞﾊﾅﾊﾅ-30,378,3272,11,7,848,241,181.8,467.4,設定1,49.3,21.6,15.2,8.6,3.2,2.1
2026-07-18,ｷﾝｸﾞﾊﾅﾊﾅ-30,377,1455,4,1,532,-445,291.0,1455.0,設定1,56.3,21.1,12.7,6.3,2.1,1.4
2026-07-18,ｷﾝｸﾞﾊﾅﾊﾅ-30,376,4067,16,7,1247,805,176.8,581.0,設定1,51.9,21.9,14.6,7.7,2.5,1.5
2026-07-18,ｷﾝｸﾞﾊﾅﾊﾅ-30,375,9616,43,24,2770,4485,143.5,400.7,設定1,23.6,17.5,21.0,19.8,10.3,7.8
2026-07-18,ｷﾝｸﾞﾊﾅﾊﾅ-30,374,6568,25,13,1768,1259,172.8,505.2,設定1,50.9,22.6,15.4,7.8,2.3,1.1
2026-07-18,ｷﾝｸﾞﾊﾅﾊﾅ-30,373,5978,21,11,1164,490,186.8,543.5,設定1,56.1,22.3,13.5,6.0,1.5,0.6
2026-07-17,ｷﾝｸﾞﾊﾅﾊﾅ-30,390,3673,13,7,1435,363,183.7,524.7,設定1,51.5,21.8,14.6,7.8,2.6,1.6
2026-07-17,ｷﾝｸﾞﾊﾅﾊﾅ-30,389,726,2,1,431,-155,242.0,726.0,設定1,49.2,20.7,14.5,8.7,3.8,3.2
2026-07-17,ｷﾝｸﾞﾊﾅﾊﾅ-30,388,1165,3,1,483,-393,291.2,1165.0,設定1,54.0,21.1,13.4,7.1,2.6,1.9
2026-07-17,ｷﾝｸﾞﾊﾅﾊﾅ-30,387,836,1,3,323,-345,209.0,278.7,設定1,45.1,20.5,15.4,10.0,4.7,4.3
2026-07-17,ｷﾝｸﾞﾊﾅﾊﾅ-30,386,1822,5,6,683,56,165.6,303.7,設定1,41.5,20.3,16.4,11.3,5.6,5.0
2026-07-17,ｷﾝｸﾞﾊﾅﾊﾅ-30,385,548,1,1,275,-244,274.0,548.0,設定1,48.3,20.6,14.6,9.0,4.0,3.5
2026-07-17,ｷﾝｸﾞﾊﾅﾊﾅ-30,384,1392,5,2,483,75,198.9,696.0,設定1,50.1,21.0,14.4,8.4,3.4,2.7
2026-07-17,ｷﾝｸﾞﾊﾅﾊﾅ-30,383,4666,21,12,1810,2264,141.4,388.8,設定1,32.3,18.9,18.4,15.1,8.0,7.3
2026-07-17,ｷﾝｸﾞﾊﾅﾊﾅ-30,382,1169,7,2,1398,979,129.9,584.5,設定1,42.2,19.9,15.8,11.1,5.6,5.5
2026-07-17,ｷﾝｸﾞﾊﾅﾊﾅ-30,381,4798,22,7,1286,1761,165.4,685.4,設定1,51.7,21.9,14.7,7.8,2.5,1.4
2026-07-17,ｷﾝｸﾞﾊﾅﾊﾅ-30,380,840,1,2,266,-480,280.0,420.0,設定1,49.2,20.9,14.6,8.7,3.7,3.0
2026-07-17,ｷﾝｸﾞﾊﾅﾊﾅ-30,379,1567,4,4,760,-195,195.9,391.8,設定1,47.3,21.0,15.2,9.3,4.0,3.2
2026-07-17,ｷﾝｸﾞﾊﾅﾊﾅ-30,378,1213,7,0,1218,663,173.3,0.0,設定1,50.9,20.8,14.1,8.2,3.3,2.6
2026-07-17,ｷﾝｸﾞﾊﾅﾊﾅ-30,377,1740,5,1,490,-490,290.0,1740.0,設定1,58.4,21.1,12.1,5.6,1.7,1.0
2026-07-17,ｷﾝｸﾞﾊﾅﾊﾅ-30,376,3421,9,10,797,-178,180.1,342.1,設定1,44.2,21.4,16.5,10.4,4.3,3.1
2026-07-17,ｷﾝｸﾞﾊﾅﾊﾅ-30,375,1374,4,2,888,-213,229.0,687.0,設定1,51.7,21.1,14.0,7.8,3.0,2.3
2026-07-17,ｷﾝｸﾞﾊﾅﾊﾅ-30,374,1664,4,4,757,-317,208.0,416.0,設定1,48.8,21.1,14.9,8.8,3.6,2.8
2026-07-17,ｷﾝｸﾞﾊﾅﾊﾅ-30,373,2981,11,5,1017,346,186.3,596.2,設定1,52.1,21.6,14.3,7.7,2.7,1.7
2026-07-16,ｷﾝｸﾞﾊﾅﾊﾅ-30,0390,3287,12,8,1008,664,164.3,410.9,設定1,43.8,21.1,16.5,10.6,4.6,3.5
2026-07-16,ｷﾝｸﾞﾊﾅﾊﾅ-30,0389,8411,30,24,1897,1939,155.8,350.5,設定1,29.6,19.9,20.8,16.8,7.8,5.1
2026-07-16,ｷﾝｸﾞﾊﾅﾊﾅ-30,0388,1712,4,3,270,-507,244.6,570.7,設定1,53.2,21.3,13.7,7.3,2.7,1.8
2026-07-16,ｷﾝｸﾞﾊﾅﾊﾅ-30,0387,2698,12,1,550,493,207.5,2698.0,設定1,59.6,21.1,11.8,5.3,1.5,0.8
2026-07-16,ｷﾝｸﾞﾊﾅﾊﾅ-30,0386,4183,16,11,1243,1180,154.9,380.3,設定1,38.7,20.5,17.7,12.6,5.9,4.7
2026-07-16,ｷﾝｸﾞﾊﾅﾊﾅ-30,0385,8308,40,27,3816,5578,124.0,307.7,設定6,4.9,5.5,11.0,19.5,22.3,36.7
2026-07-16,ｷﾝｸﾞﾊﾅﾊﾅ-30,0384,4620,20,9,1744,1620,159.3,513.3,設定1,45.6,21.6,16.4,10.1,3.8,2.6
2026-07-16,ｷﾝｸﾞﾊﾅﾊﾅ-30,0383,7802,31,24,2398,3015,141.9,325.1,設定4,18.3,14.7,19.3,20.8,13.8,13.2
2026-07-16,ｷﾝｸﾞﾊﾅﾊﾅ-30,0382,1436,8,1,803,826,159.6,1436.0,設定1,48.7,20.8,14.7,8.9,3.8,3.1
2026-07-16,ｷﾝｸﾞﾊﾅﾊﾅ-30,0381,1003,3,1,473,-190,250.8,1003.0,設定1,51.6,21.0,14.0,7.9,3.1,2.4
2026-07-16,ｷﾝｸﾞﾊﾅﾊﾅ-30,0380,7598,29,27,2485,3036,135.7,281.4,設定6,10.1,9.7,15.7,21.5,19.2,23.9
2026-07-16,ｷﾝｸﾞﾊﾅﾊﾅ-30,0379,2230,8,5,899,351,171.5,446.0,設定1,46.2,21.0,15.6,9.7,4.2,3.3
2026-07-16,ｷﾝｸﾞﾊﾅﾊﾅ-30,0378,4280,19,8,1569,1604,158.5,535.0,設定1,45.9,21.5,16.2,9.9,3.8,2.6
2026-07-16,ｷﾝｸﾞﾊﾅﾊﾅ-30,0377,1524,3,5,363,-323,190.5,304.8,設定1,44.6,20.7,15.7,10.2,4.7,4.0
2026-07-16,ｷﾝｸﾞﾊﾅﾊﾅ-30,0376,2276,6,5,582,-330,206.9,455.2,設定1,50.8,21.5,14.6,8.1,3.0,2.1
2026-07-16,ｷﾝｸﾞﾊﾅﾊﾅ-30,0375,1028,4,0,515,-40,257.0,0,設定1,53.7,21.0,13.4,7.2,2.7,2.0
2026-07-16,ｷﾝｸﾞﾊﾅﾊﾅ-30,0374,4864,21,10,1436,1756,156.9,486.4,設定1,43.7,21.4,16.9,10.8,4.3,2.9
2026-07-16,ｷﾝｸﾞﾊﾅﾊﾅ-30,0373,5965,20,16,1578,845,165.7,372.8,設定1,40.4,21.7,18.2,11.9,4.8,3.0
2026-07-15,ｷﾝｸﾞﾊﾅﾊﾅ-30,390,3287,12,8,1008,664,164.3,410.9,設定1,43.8,21.1,16.5,10.6,4.6,3.5
2026-07-15,ｷﾝｸﾞﾊﾅﾊﾅ-30,389,8411,30,24,1897,1939,155.8,350.5,設定1,29.6,19.9,20.8,16.8,7.8,5.1
2026-07-15,ｷﾝｸﾞﾊﾅﾊﾅ-30,388,1712,4,3,270,-507,244.6,570.7,設定1,53.2,21.3,13.7,7.3,2.7,1.8
2026-07-15,ｷﾝｸﾞﾊﾅﾊﾅ-30,387,2698,12,1,550,493,207.5,2698.0,設定1,59.6,21.1,11.8,5.3,1.5,0.8
2026-07-15,ｷﾝｸﾞﾊﾅﾊﾅ-30,386,4183,16,11,1243,1180,154.9,380.3,設定1,38.7,20.5,17.7,12.6,5.9,4.7
2026-07-15,ｷﾝｸﾞﾊﾅﾊﾅ-30,385,8308,40,27,3816,5578,124.0,307.7,設定6,4.9,5.5,11.0,19.5,22.3,36.7
2026-07-15,ｷﾝｸﾞﾊﾅﾊﾅ-30,384,4620,20,9,1744,1620,159.3,513.3,設定1,45.6,21.6,16.4,10.1,3.8,2.6
2026-07-15,ｷﾝｸﾞﾊﾅﾊﾅ-30,383,7802,31,24,2398,3015,141.9,325.1,設定4,18.3,14.7,19.3,20.8,13.8,13.2
2026-07-15,ｷﾝｸﾞﾊﾅﾊﾅ-30,382,1436,8,1,803,826,159.6,1436.0,設定1,48.7,20.8,14.7,8.9,3.8,3.1
2026-07-15,ｷﾝｸﾞﾊﾅﾊﾅ-30,381,1003,3,1,473,-190,250.8,1003.0,設定1,51.6,21.0,14.0,7.9,3.1,2.4
2026-07-15,ｷﾝｸﾞﾊﾅﾊﾅ-30,380,7598,29,27,2485,3036,135.7,281.4,設定6,10.1,9.7,15.7,21.5,19.2,23.9
2026-07-15,ｷﾝｸﾞﾊﾅﾊﾅ-30,379,2230,8,5,899,351,171.5,446.0,設定1,46.2,21.0,15.6,9.7,4.2,3.3
2026-07-15,ｷﾝｸﾞﾊﾅﾊﾅ-30,378,4280,19,8,1569,1604,158.5,535.0,設定1,45.9,21.5,16.2,9.9,3.8,2.6
2026-07-15,ｷﾝｸﾞﾊﾅﾊﾅ-30,377,1524,3,5,363,-323,190.5,304.8,設定1,44.6,20.7,15.7,10.2,4.7,4.0
2026-07-15,ｷﾝｸﾞﾊﾅﾊﾅ-30,376,2276,6,5,582,-330,206.9,455.2,設定1,50.8,21.5,14.6,8.1,3.0,2.1
2026-07-15,ｷﾝｸﾞﾊﾅﾊﾅ-30,375,1028,4,0,515,-40,257.0,0.0,設定1,53.7,21.0,13.4,7.2,2.7,2.0
2026-07-15,ｷﾝｸﾞﾊﾅﾊﾅ-30,374,4864,21,10,1436,1756,156.9,486.4,設定1,43.7,21.4,16.9,10.8,4.3,2.9
2026-07-15,ｷﾝｸﾞﾊﾅﾊﾅ-30,373,5965,20,16,1578,845,165.7,372.8,設定1,40.4,21.7,18.2,11.9,4.8,3.0
2026-07-14,ｷﾝｸﾞﾊﾅﾊﾅ-30,390,1354,4,2,472,-188,225.7,677.0,設定1,51.4,21.1,14.1,7.9,3.1,2.3
2026-07-14,ｷﾝｸﾞﾊﾅﾊﾅ-30,389,3413,11,9,748,325,170.7,379.2,設定1,44.0,21.2,16.5,10.5,4.5,3.3
2026-07-14,ｷﾝｸﾞﾊﾅﾊﾅ-30,388,1520,4,4,585,-136,190.0,380.0,設定1,46.5,20.8,15.3,9.6,4.2,3.5
2026-07-14,ｷﾝｸﾞﾊﾅﾊﾅ-30,387,3650,10,10,1444,-153,182.5,365.0,設定1,45.9,21.7,16.2,9.8,3.9,2.6
2026-07-14,ｷﾝｸﾞﾊﾅﾊﾅ-30,386,893,3,0,521,-183,297.7,0.0,設定1,53.5,21.0,13.4,7.3,2.8,2.1
2026-07-14,ｷﾝｸﾞﾊﾅﾊﾅ-30,385,1521,7,2,521,537,169.0,760.5,設定1,48.3,20.8,14.9,9.1,3.8,3.2
2026-07-14,ｷﾝｸﾞﾊﾅﾊﾅ-30,384,2663,12,9,1726,1576,126.8,295.9,設定1,28.4,17.0,17.3,15.6,10.1,11.6
2026-07-14,ｷﾝｸﾞﾊﾅﾊﾅ-30,383,661,1,0,261,-516,661.0,0.0,設定1,53.8,20.9,13.3,7.2,2.7,2.1
2026-07-14,ｷﾝｸﾞﾊﾅﾊﾅ-30,382,2902,11,10,1198,1095,138.2,290.2,設定1,30.8,18.0,17.6,15.0,9.0,9.5
2026-07-14,ｷﾝｸﾞﾊﾅﾊﾅ-30,381,907,1,2,265,-564,302.3,453.5,設定1,50.2,21.0,14.3,8.3,3.4,2.7
2026-07-14,ｷﾝｸﾞﾊﾅﾊﾅ-30,380,1617,5,1,807,-336,269.5,1617.0,設定1,56.8,21.1,12.6,6.1,2.0,1.3
2026-07-14,ｷﾝｸﾞﾊﾅﾊﾅ-30,379,1657,6,3,751,185,184.1,552.3,設定1,48.6,21.0,14.9,8.9,3.7,2.9
2026-07-14,ｷﾝｸﾞﾊﾅﾊﾅ-30,378,3673,24,16,3647,4965,91.8,229.6,設定6,3.2,3.4,6.7,13.3,20.3,53.2
2026-07-14,ｷﾝｸﾞﾊﾅﾊﾅ-30,377,679,0,3,158,-460,226.3,226.3,設定1,44.5,20.4,15.4,10.2,4.9,4.6
2026-07-14,ｷﾝｸﾞﾊﾅﾊﾅ-30,376,2865,9,6,581,-2,191.0,477.5,設定1,50.5,21.6,14.8,8.2,3.0,2.0
2026-07-14,ｷﾝｸﾞﾊﾅﾊﾅ-30,375,1532,4,2,629,-411,255.3,766.0,設定1,54.0,21.2,13.4,7.0,2.5,1.7
2026-07-14,ｷﾝｸﾞﾊﾅﾊﾅ-30,374,368,0,0,22,-461,0.0,0.0,判定不能(G不足),51.2,20.8,13.9,8.0,3.3,2.8
2026-07-14,ｷﾝｸﾞﾊﾅﾊﾅ-30,373,5549,29,9,2533,3264,146.0,616.6,設定1,42.7,21.2,17.2,11.3,4.5,3.1
2026-07-13,ｷﾝｸﾞﾊﾅﾊﾅ-30,390,8458,37,16,2661,3025,159.6,528.6,設定1,46.4,22.7,17.1,9.6,2.8,1.3
2026-07-13,ｷﾝｸﾞﾊﾅﾊﾅ-30,389,2133,7,3,908,-98,213.3,711.0,設定1,53.9,21.4,13.6,7.1,2.5,1.6
