日付,機種名,台番,累計ゲーム数,BIG回数,REG回数,最大放出数,推測差枚,合算確率,REG確率,最有力設定,設定1(%),設定2(%),設定3(%),設定4(%),設定V(%)
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0372,7443,31,19,2814,1629,148.9,391.7,設定V,9.8,13.9,19.6,26.5,30.2
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0371,1133,2,3,457,-586,226.6,377.7,設定1,21.8,21.4,20.7,19.2,16.9
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0370,2859,9,6,1104,-450,190.6,476.5,設定1,22.7,22.4,21.3,18.8,14.8
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0369,3925,18,8,1618,1112,151.0,490.6,設定4,16.4,18.5,20.7,22.5,21.8
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0368,1571,4,4,675,-450,196.4,392.8,設定2,21.1,21.1,20.8,19.6,17.4
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0367,3771,10,11,844,-776,179.6,342.8,設定3,18.5,20.2,21.5,21.2,18.6
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0366,5587,25,12,2747,1468,151.0,465.6,設定4,14.5,17.5,20.8,23.8,23.4
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0365,3454,13,12,2104,737,138.2,287.8,設定V,10.0,13.3,18.2,25.1,33.3
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0364,6349,32,16,3625,3096,132.3,396.8,設定V,6.5,10.0,16.2,26.8,40.5
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0363,694,0,1,136,-850,694.0,694.0,設定1,25.2,23.1,20.5,17.3,13.8
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0362,8125,39,22,3660,3552,133.2,369.3,設定V,4.1,7.3,13.9,27.1,47.6
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0361,1640,4,3,602,-678,234.3,546.7,設定1,24.5,23.0,20.9,17.8,13.9
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0360,1537,3,2,322,-974,307.4,768.5,設定1,27.6,24.4,20.6,16.1,11.3
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0359,4210,17,7,1518,267,175.4,601.4,設定1,23.3,22.9,21.6,18.6,13.6
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0358,2251,9,2,896,-111,204.6,1125.5,設定1,26.6,24.1,20.8,16.7,11.9
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0357,7826,32,26,3043,2310,134.9,301.0,設定V,3.1,6.0,12.4,26.5,52.0
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0356,5046,15,17,1351,-236,157.7,296.8,設定V,11.3,14.9,19.9,25.2,28.8
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0355,3731,12,10,1500,-225,169.6,373.1,設定4,17.8,19.6,21.2,21.7,19.7
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0354,6092,24,16,2372,963,152.3,380.8,設定V,11.9,15.6,20.3,25.2,27.0
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0353,5953,20,10,1292,-868,198.4,595.3,設定1,30.2,26.7,21.3,14.4,7.4
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0352,2980,12,4,1151,55,186.2,745.0,設定1,24.9,23.5,21.1,17.6,12.9
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0351,8484,26,30,1993,29,151.5,282.8,設定V,5.0,8.9,16.2,28.0,41.9
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0350,1944,8,5,1512,400,149.5,388.8,設定V,16.9,18.5,20.2,21.8,22.5
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0349,2570,7,4,767,-925,233.6,642.5,設定1,27.9,24.8,20.9,15.9,10.5
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0348,4414,12,13,993,-800,176.6,339.5,設定4,17.5,19.8,21.6,21.8,19.2
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0347,9010,35,23,2141,1184,155.3,391.7,設定V,10.6,15.0,20.9,26.6,26.9
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0346,1326,5,1,607,-182,221.0,1326.0,設定1,24.8,23.0,20.6,17.6,14.0
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0345,7775,37,17,3986,2772,144.0,457.4,設定V,9.9,13.8,19.4,26.5,30.3
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0344,3215,7,11,864,-926,178.6,292.3,設定4,16.9,19.0,21.1,22.0,21.0
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0343,2195,6,5,806,-578,199.5,439.0,設定1,22.4,22.1,21.1,18.9,15.5
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0342,1448,4,4,892,-277,181.0,362.0,設定3,19.7,20.3,20.6,20.3,19.1
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0341,8092,46,21,5291,5652,120.8,385.3,設定V,2.0,4.2,9.6,24.6,59.6
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0340,2183,4,5,654,-1185,242.6,436.6,設定1,25.3,23.6,21.1,17.3,12.7
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0339,5045,23,11,1890,1480,148.4,458.6,設定V,14.1,17.1,20.5,23.9,24.5
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0338,1140,2,0,489,-986,570.0,0,設定1,30.1,25.3,20.1,14.7,9.7
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0337,4849,17,6,1416,-764,210.8,808.2,設定1,33.1,27.3,20.3,12.9,6.4
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0336,4726,9,10,878,-2567,248.7,472.6,設定1,32.9,27.5,20.6,12.8,6.2
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0335,3599,11,7,1095,-741,199.9,514.1,設定1,25.4,24.0,21.4,17.3,11.9
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0334,3064,9,8,937,-479,180.2,383.0,設定3,19.8,20.8,21.3,20.4,17.6
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0333,1791,4,1,621,-1151,358.2,1791.0,設定1,31.8,26.1,20.0,13.8,8.3
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0332,6695,19,20,1367,-928,171.7,334.8,設定4,14.8,18.3,22.1,23.8,21.1
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0331,1841,5,3,972,-650,230.1,613.7,設定1,25.3,23.4,20.9,17.3,13.1
2026-07-20,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0330,8016,32,31,3493,2692,127.2,258.6,設定V,1.2,2.9,7.7,22.7,65.6
