日付,機種名,台番,累計ゲーム数,BIG回数,REG回数,最大放出数,推測差枚,合算確率,REG確率,設定推測
本日,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0319,1026,2,2,330,-502,256.5,513.0,設定1近辺
本日,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0320,718,1,3,368,-268,179.5,239.3,判定不能(G数不足)
本日,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0321,905,7,0,846,961,129.3,0,判定不能(G数不足)
本日,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0322,87,0,0,10,-117,0,0,判定不能(G数不足)
本日,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0323,239,0,0,20,-322,0,0,判定不能(G数不足)
本日,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0324,420,2,2,545,316,105.0,210.0,判定不能(G数不足)
本日,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0325,90,0,0,13,-121,0,0,判定不能(G数不足)
本日,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0326,252,0,0,13,-340,0,0,判定不能(G数不足)
本日,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0327,672,1,2,371,-336,224.0,336.0,判定不能(G数不足)
本日,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0328,187,0,0,15,-252,0,0,判定不能(G数不足)
本日,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0329,490,0,0,23,-662,0,0,判定不能(G数不足)
本日,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0330,972,5,8,1376,1286,74.8,121.5,判定不能(G数不足)
本日,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0331,341,0,1,133,-330,341.0,341.0,判定不能(G数不足)
本日,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0332,209,2,1,667,471,69.7,209.0,判定不能(G数不足)
本日,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0333,646,3,0,831,63,215.3,0,判定不能(G数不足)
本日,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0334,276,0,0,20,-372,0,0,判定不能(G数不足)
本日,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0335,230,2,1,626,443,76.7,230.0,判定不能(G数不足)
本日,SBﾆｭｰｷﾝｸﾞﾊﾅﾊﾅV-30,0336,3056,11,8,1214,342,160.8,382.0,設定4近辺
