日付,機種名,台番,累計ゲーム数,BIG回数,REG回数,推測差枚,REG確率,最有力設定,設定1(%),設定2(%),設定3(%),設定4(%),設定5(%),設定6(%)
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,396,1506,2,2,-1234,753,設定1,57.7,20.9,12.2,6.0,2.0,1.2
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,397,6785,32,10,325,678,設定1,46.4,22.7,16.9,9.4,3.1,1.5
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,398,1720,9,3,350,573,設定1,41.1,20.2,16.4,11.4,5.6,5.2
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,399,1609,6,2,-358,804,設定1,51.0,21.1,14.2,8.1,3.2,2.4
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,400,7617,32,16,-164,476,設定1,33.4,22.1,20.7,14.5,5.9,3.4
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,401,2774,11,5,-304,554,設定1,46.3,21.5,15.8,9.6,4.0,2.9
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,402,1294,6,3,141,431,設定1,40.1,20.0,16.4,11.6,6.0,5.8
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,403,1826,6,4,-444,456,設定1,45.4,21.1,15.7,9.9,4.4,3.5
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,404,532,0,0,-682,0,設定1,54.8,20.6,12.9,7.0,2.7,2.0
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,405,1346,4,1,-621,1346,設定1,55.4,20.9,12.9,6.7,2.5,1.7
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,406,3629,14,8,-356,453,設定1,40.6,21.5,17.5,11.6,5.1,3.8
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,407,6131,25,8,-791,766,設定1,58.4,22.0,12.5,5.3,1.3,0.5
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,408,6650,28,13,-221,511,設定1,39.2,22.6,19.0,12.1,4.6,2.6
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,409,1251,4,3,-307,417,設定1,44.3,20.7,15.7,10.3,4.8,4.2
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,410,8711,32,17,-1471,512,設定1,47.1,24.3,17.0,8.5,2.3,0.8
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,411,9119,41,17,273,536,設定1,35.0,22.8,21.0,13.8,5.0,2.5
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,412,3387,19,11,1501,307,設定6,11.6,10.7,15.4,19.0,16.7,26.5
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,413,1006,4,0,-281,0,設定1,54.2,20.7,13.2,7.2,2.8,2.1
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,414,3606,15,9,21,400,設定1,32.8,20.0,18.7,14.4,7.5,6.7
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,415,5412,37,4,2769,1353,設定1,38.7,20.3,18.3,12.5,5.7,4.5
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,416,916,1,2,-730,458,設定1,50.1,21.0,14.3,8.4,3.5,2.8
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,417,9683,49,18,1662,537,設定1,23.1,19.1,22.8,19.4,9.3,6.2
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,418,470,0,0,-602,0,設定1,53.7,20.6,13.2,7.3,2.9,2.3
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,419,963,3,1,-382,963,設定1,51.1,20.8,14.0,8.1,3.4,2.6
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,420,1025,3,2,-366,512,設定1,47.4,20.8,14.9,9.3,4.1,3.5
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,421,1276,1,5,-903,255,設定1,42.1,20.8,16.2,11.0,5.3,4.6
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,422,8344,45,19,2466,439,設定4,8.7,10.2,17.5,22.9,18.4,22.2
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,423,2494,19,8,2358,311,設定6,9.6,8.8,13.3,17.6,17.4,33.3
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,424,1719,6,0,-691,0,設定1,61.2,20.3,11.1,5.0,1.6,0.9
2026-07-07,Sドラゴンハナハナ-閃光-SP-30,425,3718,16,11,321,338,設定1,22.9,16.9,18.9,17.7,11.3,12.3
2026-07-06,Sドラゴンハナハナ-閃光-SP-30,396,987,6,0,246,0,設定1,49.3,20.5,14.4,8.7,3.8,3.2
2026-07-06,Sドラゴンハナハナ-閃光-SP-30,397,123,0,0,-157,0,設定1,47.4,20.3,14.6,9.3,4.4,4.1
2026-07-06,Sドラゴンハナハナ-閃光-SP-30,398,10544,51,27,1926,390,設定6,4.7,7.5,15.7,24.4,21.8,25.9
2026-07-06,Sドラゴンハナハナ-閃光-SP-30,399,329,1,0,-169,0,設定1,48.9,20.4,14.3,8.8,4.0,3.5
2026-07-06,Sドラゴンハナハナ-閃光-SP-30,400,431,0,0,-552,0,設定1,53.1,20.6,13.3,7.5,3.1,2.4
2026-07-06,Sドラゴンハナハナ-閃光-SP-30,401,855,1,0,-844,0,設定1,57.9,20.5,12.0,6.0,2.1,1.4
2026-07-06,Sドラゴンハナハナ-閃光-SP-30,402,687,1,0,-628,0,設定1,55.2,20.6,12.8,6.8,2.6,1.9
2026-07-06,Sドラゴンハナハナ-閃光-SP-30,403,1083,7,0,375,0,設定1,48.8,20.5,14.6,8.9,3.9,3.4
2026-07-06,Sドラゴンハナハナ-閃光-SP-30,404,3835,19,10,831,383,設定1,22.7,16.6,18.8,17.7,11.4,12.7
2026-07-06,Sドラゴンハナハナ-閃光-SP-30,405,2385,8,3,-753,795,設定1,55.3,21.3,13.1,6.7,2.3,1.4
2026-07-06,Sドラゴンハナハナ-閃光-SP-30,406,1244,5,3,-46,414,設定1,41.7,20.3,16.2,11.1,5.5,5.2
2026-07-06,Sドラゴンハナハナ-閃光-SP-30,407,1052,3,1,-496,1052,設定1,52.6,20.9,13.6,7.6,3.0,2.3
2026-07-06,Sドラゴンハナハナ-閃光-SP-30,408,3166,15,7,393,452,設定1,34.2,19.8,18.2,13.9,7.2,6.7
2026-07-06,Sドラゴンハナハナ-閃光-SP-30,409,1935,11,4,675,483,設定1,35.1,19.2,17.3,13.3,7.4,7.7
2026-07-06,Sドラゴンハナハナ-閃光-SP-30,410,2659,6,5,-1416,531,設定1,55.2,21.7,13.2,6.6,2.2,1.2
2026-07-06,Sドラゴンハナハナ-閃光-SP-30,411,2122,6,4,-824,530,設定1,50.7,21.5,14.4,8.1,3.1,2.1
2026-07-06,Sドラゴンハナハナ-閃光-SP-30,412,2567,13,8,753,320,設定1,22.5,15.9,17.8,17.2,11.8,14.8
